,Sample,Cement,Sand,Aggregate,FA,Cyclodextrin,Water,Days,Load 1,Comp. 1,Load 2,Comp. 2,Load 3,Comp. 3
Batch A w/b = 0.5,C (A),450,720,1076,0,0,225,7,396,39.6,415,41.5,416,41.6
,C (A),450,720,1076,0,0,225,14,532,53.2,534,53.4,520,52
,C (A),450,720,1076,0,0,225,28,614,61.4,625,62.5,620,62
,C (A),450,720,1076,0,0,225,90,708,70.8,690,69,683,68.3
,C (A),450,720,1076,0,0,225,180,745,74.5,752,75.2,748,74.8
,C30FA (A),315,720,1076,135,0,225,7,219,21.9,219,21.9,214,21.4
,C30FA (A),315,720,1076,135,0,225,14,390,39,395,39.5,405,40.5
,C30FA (A),315,720,1076,135,0,225,28,431,43.1,434,43.4,442,44.2
,C30FA (A),315,720,1076,135,0,225,90,583,58.3,590,59,585,58.5
,C30FA (A),315,720,1076,135,0,225,180,690,69,695,69.5,700,70
,C50FA (A),225,720,1076,225,0,225,7,151,15.1,155,15.5,149,14.9
,C50FA (A),225,720,1076,225,0,225,14,214,21.4,222,22.2,219,21.9
,C50FA (A),225,720,1076,225,0,225,28,261,26.1,267,26.7,270,27
,C50FA (A),225,720,1076,225,0,225,90,429,42.9,425,42.5,422,42.2
,C50FA (A),225,720,1076,225,0,225,180,582,58.2,589,58.9,594,59.4
,C0.025CD (A),449.89,720,1076,0,0.1125,225,7,432,43.2,436,43.6,437,43.7
,C0.025CD (A),449.89,720,1076,0,0.1125,225,14,540,54,562,56.2,552,55.2
,C0.025CD (A),449.89,720,1076,0,0.1125,225,28,610,61,608,60.8,615,61.5
,C0.025CD (A),449.89,720,1076,0,0.1125,225,90,689,68.9,690,69,692,69.2
,C0.025CD (A),449.89,720,1076,0,0.1125,225,180,739,73.9,740,74,745,74.5
,C0.05CD (A),449.78,720,1076,0,0.225,225,7,448,44.8,456,45.6,445,44.5
,C0.05CD (A),449.78,720,1076,0,0.225,225,14,566,56.6,565,56.5,568,56.8
,C0.05CD (A),449.78,720,1076,0,0.225,225,28,621,62.1,620,62,625,62.5
,C0.05CD (A),449.78,720,1076,0,0.225,225,90,710,71,692,69.2,698,69.8
,C0.05CD (A),449.78,720,1076,0,0.225,225,180,789,78.9,790,79,792,79.2
